DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
28-Feb-2022;23:20:01;LV_f11_MF;1;0.000001;121.10;0;5;2000;1;5;50;7
28-Feb-2022;23:20:55;LV_f11_MF;2;0.000004;53.30;0;5;2000;1;5;50;7
28-Feb-2022;23:23:14;LV_f11_MF;3;0.000001;138.80;0;5;2000;1;5;50;7
28-Feb-2022;23:25:08;LV_f11_MF;4;0.000000;114.27;0;5;2000;1;5;50;7
28-Feb-2022;23:26:40;LV_f11_MF;5;0.000001;91.95;0;5;2000;1;5;50;7
28-Feb-2022;23:32:42;LV_f13_MF;1;158.827119;362.59;0;5;2000;1;5;50;7
28-Feb-2022;23:34:19;LV_f13_MF;2;23.298663;96.09;0;5;2000;1;5;50;7
28-Feb-2022;23:35:21;LV_f13_MF;3;382.333017;62.25;0;5;2000;1;5;50;7
28-Feb-2022;23:38:46;LV_f13_MF;4;857.084093;204.73;0;5;2000;1;5;50;7
28-Feb-2022;23:41:41;LV_f13_MF;5;73.559433;175.16;0;5;2000;1;5;50;7
28-Feb-2022;23:42:54;LV_f15_MF;1;37407.085401;73.27;0;5;2000;1;5;50;7
28-Feb-2022;23:44:44;LV_f15_MF;2;5993.411943;110.00;0;5;2000;1;5;50;7
28-Feb-2022;23:46:43;LV_f15_MF;3;6318.897380;118.42;0;5;2000;1;5;50;7
28-Feb-2022;23:48:52;LV_f15_MF;4;27914.243090;128.93;0;5;2000;1;5;50;7
28-Feb-2022;23:50:02;LV_f15_MF;5;9822.520758;70.45;0;5;2000;1;5;50;7
28-Feb-2022;23:50:53;LV_f17_MF;1;824.183963;51.29;0;5;2000;1;5;50;7
28-Feb-2022;23:53:12;LV_f17_MF;2;23.945384;138.35;0;5;2000;1;5;50;7
28-Feb-2022;23:56:25;LV_f17_MF;3;36.897233;193.44;0;5;2000;1;5;50;7
01-Mar-2022;00:00:17;LV_f17_MF;4;59.536758;231.67;0;5;2000;1;5;50;7
01-Mar-2022;00:03:02;LV_f17_MF;5;41.241112;164.84;0;5;2000;1;5;50;7
01-Mar-2022;00:07:47;Griewank_d3_e2;1;0.007397;284.92;0;5;2000;1;5;50;7
01-Mar-2022;00:12:54;Griewank_d3_e2;2;0.000677;307.05;0;5;2000;1;5;50;7
01-Mar-2022;00:14:09;Griewank_d3_e2;3;0.007570;75.61;0;5;2000;1;5;50;7
01-Mar-2022;00:16:01;Griewank_d3_e2;4;0.008156;111.34;0;5;2000;1;5;50;7
01-Mar-2022;00:19:36;Griewank_d3_e2;5;0.000148;214.78;0;5;2000;1;5;50;7
01-Mar-2022;00:22:34;Griewank_d8_e2;1;0.950784;177.96;0;5;2000;1;5;50;7
01-Mar-2022;00:26:35;Griewank_d8_e2;2;0.943886;241.69;0;5;2000;1;5;50;7
01-Mar-2022;00:27:55;Griewank_d8_e2;3;0.815449;79.68;0;5;2000;1;5;50;7
01-Mar-2022;00:30:47;Griewank_d8_e2;4;0.945200;172.08;0;5;2000;1;5;50;7
01-Mar-2022;00:34:57;Griewank_d8_e2;5;0.826692;249.24;0;5;2000;1;5;50;7
