DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
07-Sep-2021;18:00:42;Griewank_d3_e2;1;0.000000;631.92;0;5;400;1;5
07-Sep-2021;18:09:57;Griewank_d3_e2;2;0.000000;554.69;0;5;400;1;5
07-Sep-2021;18:19:26;Griewank_d3_e2;3;0.000000;569.42;0;5;400;1;5
07-Sep-2021;18:27:39;Griewank_d3_e2;4;0.000000;492.96;0;5;400;1;5
07-Sep-2021;18:36:29;Griewank_d3_e2;5;0.000000;530.03;0;5;400;1;5
07-Sep-2021;18:59:00;Griewank_d5_e2;1;0.000000;1350.11;0;5;400;1;5
07-Sep-2021;19:21:04;Griewank_d5_e2;2;0.139350;1323.75;0;5;400;1;5
07-Sep-2021;19:44:52;Griewank_d5_e2;3;0.000000;1428.02;0;5;400;1;5
07-Sep-2021;20:05:13;Griewank_d5_e2;4;0.127923;1221.25;0;5;400;1;5
07-Sep-2021;20:26:42;Griewank_d5_e2;5;0.000000;1288.80;0;5;400;1;5
07-Sep-2021;20:36:26;Griewank_d8_e2;1;0.950784;584.25;0;5;400;1;5
07-Sep-2021;20:45:01;Griewank_d8_e2;2;0.304951;514.83;0;5;400;1;5
07-Sep-2021;20:50:39;Griewank_d8_e2;3;0.623311;337.49;0;5;400;1;5
07-Sep-2021;20:56:12;Griewank_d8_e2;4;0.945200;333.40;0;5;400;1;5
07-Sep-2021;21:06:32;Griewank_d8_e2;5;0.826692;619.97;0;5;400;1;5
07-Sep-2021;21:13:56;Griewank_d3_e6;1;0.000000;443.65;0;5;400;1;5
07-Sep-2021;21:21:31;Griewank_d3_e6;2;0.000000;455.41;0;5;400;1;5
07-Sep-2021;21:29:06;Griewank_d3_e6;3;0.000000;454.67;0;5;400;1;5
07-Sep-2021;21:36:18;Griewank_d3_e6;4;0.000000;431.55;0;5;400;1;5
07-Sep-2021;21:43:06;Griewank_d3_e6;5;0.010566;407.89;0;5;400;1;5
07-Sep-2021;22:06:10;Griewank_d5_e6;1;0.000000;1384.44;0;5;400;1;5
07-Sep-2021;22:27:41;Griewank_d5_e6;2;0.000000;1291.13;0;5;400;1;5
07-Sep-2021;22:53:14;Griewank_d5_e6;3;0.000000;1532.38;0;5;400;1;5
07-Sep-2021;23:13:35;Griewank_d5_e6;4;0.253961;1220.88;0;5;400;1;5
07-Sep-2021;23:35:05;Griewank_d5_e6;5;0.000000;1290.74;0;5;400;1;5
07-Sep-2021;23:44:49;Griewank_d8_e6;1;0.001195;583.63;0;5;400;1;5
07-Sep-2021;23:55:05;Griewank_d8_e6;2;0.004764;615.58;0;5;400;1;5
08-Sep-2021;00:08:16;Griewank_d8_e6;3;0.793387;791.38;0;5;400;1;5
08-Sep-2021;00:24:43;Griewank_d8_e6;4;0.900427;987.19;0;5;400;1;5
08-Sep-2021;00:34:10;Griewank_d8_e6;5;0.826692;566.20;0;5;400;1;5
08-Sep-2021;00:44:43;Michalewicz_d3_e2;1;-1.958687;633.00;0;5;400;1;5
08-Sep-2021;00:56:09;Michalewicz_d3_e2;2;-2.275193;685.76;0;5;400;1;5
08-Sep-2021;01:06:36;Michalewicz_d3_e2;3;-2.487888;627.05;0;5;400;1;5
08-Sep-2021;01:17:26;Michalewicz_d3_e2;4;-1.957276;650.51;0;5;400;1;5
08-Sep-2021;01:27:50;Michalewicz_d3_e2;5;-1.958780;623.25;0;5;400;1;5
08-Sep-2021;01:47:37;Michalewicz_d5_e2;1;-3.036008;1186.94;0;5;400;1;5
08-Sep-2021;02:05:51;Michalewicz_d5_e2;2;-3.133734;1094.09;0;5;400;1;5
08-Sep-2021;02:23:34;Michalewicz_d5_e2;3;-2.856123;1063.11;0;5;400;1;5
08-Sep-2021;02:41:04;Michalewicz_d5_e2;4;-3.102509;1049.53;0;5;400;1;5
08-Sep-2021;02:58:45;Michalewicz_d5_e2;5;-3.516393;1059.70;0;5;400;1;5
08-Sep-2021;03:37:48;Michalewicz_d8_e2;1;-2.891152;2337.00;0;5;400;1;5
08-Sep-2021;04:14:49;Michalewicz_d8_e2;2;-3.106136;2221.14;0;5;400;1;5
08-Sep-2021;04:50:17;Michalewicz_d8_e2;3;-2.577528;2127.56;0;5;400;1;5
08-Sep-2021;05:23:52;Michalewicz_d8_e2;4;-3.367237;2015.60;0;5;400;1;5
08-Sep-2021;06:03:10;Michalewicz_d8_e2;5;-2.797034;2357.32;0;5;400;1;5
08-Sep-2021;06:14:42;Michalewicz_d3_e6;1;-1.958853;692.26;0;5;400;1;5
08-Sep-2021;06:27:08;Michalewicz_d3_e6;2;-1.958971;745.31;0;5;400;1;5
08-Sep-2021;06:38:25;Michalewicz_d3_e6;3;-1.947206;677.34;0;5;400;1;5
08-Sep-2021;06:50:15;Michalewicz_d3_e6;4;-2.518709;709.69;0;5;400;1;5
08-Sep-2021;07:01:33;Michalewicz_d3_e6;5;-1.956049;678.46;0;5;400;1;5
08-Sep-2021;07:21:27;Michalewicz_d5_e6;1;-3.278534;1193.38;0;5;400;1;5
08-Sep-2021;07:40:13;Michalewicz_d5_e6;2;-2.669835;1125.87;0;5;400;1;5
08-Sep-2021;07:59:54;Michalewicz_d5_e6;3;-2.585181;1181.12;0;5;400;1;5
08-Sep-2021;08:20:29;Michalewicz_d5_e6;4;-3.005334;1235.06;0;5;400;1;5
08-Sep-2021;08:37:25;Michalewicz_d5_e6;5;-3.013280;1016.29;0;5;400;1;5
08-Sep-2021;09:17:51;Michalewicz_d8_e6;1;-2.398057;2425.20;0;5;400;1;5
08-Sep-2021;09:53:24;Michalewicz_d8_e6;2;-3.641487;2133.53;0;5;400;1;5
08-Sep-2021;10:32:40;Michalewicz_d8_e6;3;-3.136028;2355.93;0;5;400;1;5
08-Sep-2021;11:09:45;Michalewicz_d8_e6;4;-2.240572;2224.36;0;5;400;1;5
08-Sep-2021;11:43:20;Michalewicz_d8_e6;5;-3.151844;2015.72;0;5;400;1;5
