DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE
22-Jun-2021;16:03:40;LV_f01_MF;1;-1.191648;202.94;1;30;400
22-Jun-2021;16:07:15;LV_f01_MF;2;-1.191648;214.15;1;30;400
22-Jun-2021;16:10:43;LV_f01_MF;3;-1.191648;208.27;1;30;400
22-Jun-2021;16:14:02;LV_f01_MF;4;-0.712787;198.93;1;30;400
22-Jun-2021;16:17:52;LV_f01_MF;5;-1.191648;230.00;1;30;400
22-Jun-2021;16:21:25;LV_f01_MF;6;-1.191648;212.89;1;30;400
22-Jun-2021;16:25:11;LV_f01_MF;7;-1.191648;225.85;1;30;400
22-Jun-2021;16:28:37;LV_f01_MF;8;-1.191648;206.57;1;30;400
22-Jun-2021;16:32:19;LV_f01_MF;9;-0.712787;221.74;1;30;400
22-Jun-2021;16:36:05;LV_f01_MF;10;-1.191648;226.01;1;30;400
22-Jun-2021;16:39:34;LV_f01_MF;11;-1.191648;208.87;1;30;400
22-Jun-2021;16:43:10;LV_f01_MF;12;-1.191648;215.77;1;30;400
22-Jun-2021;16:46:51;LV_f01_MF;13;-1.191648;221.02;1;30;400
22-Jun-2021;16:50:25;LV_f01_MF;14;-1.191648;213.88;1;30;400
22-Jun-2021;16:53:57;LV_f01_MF;15;-1.191648;212.13;1;30;400
22-Jun-2021;16:57:27;LV_f01_MF;16;-1.191648;210.55;1;30;400
22-Jun-2021;17:01:06;LV_f01_MF;17;-1.191648;218.75;1;30;400
22-Jun-2021;17:04:42;LV_f01_MF;18;-1.191648;215.76;1;30;400
22-Jun-2021;17:08:25;LV_f01_MF;19;-1.191648;223.08;1;30;400
22-Jun-2021;17:12:06;LV_f01_MF;20;-0.712784;221.05;1;30;400
22-Jun-2021;17:15:29;LV_f01_MF;21;-1.191648;203.60;1;30;400
22-Jun-2021;17:19:21;LV_f01_MF;22;-0.712787;231.48;1;30;400
22-Jun-2021;17:22:51;LV_f01_MF;23;-1.191648;209.76;1;30;400
22-Jun-2021;17:26:40;LV_f01_MF;24;-1.191648;229.09;1;30;400
22-Jun-2021;17:30:07;LV_f01_MF;25;-1.191648;207.56;1;30;400
22-Jun-2021;17:33:31;LV_f01_MF;26;-1.191648;203.21;1;30;400
22-Jun-2021;17:37:17;LV_f01_MF;27;-0.712788;226.63;1;30;400
