DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
21-Feb-2022;20:34:42;LV_f11_MF;1;0.000000;1859.28;1;5;2000;1;5;5;1
21-Feb-2022;20:58:06;LV_f11_MF;2;0.000000;1403.19;1;5;2000;1;5;5;1
21-Feb-2022;21:22:00;LV_f11_MF;3;0.000000;1434.53;1;5;2000;1;5;5;1
21-Feb-2022;21:46:14;LV_f11_MF;4;0.000000;1453.21;1;5;2000;1;5;5;1
21-Feb-2022;22:12:19;LV_f11_MF;5;0.000000;1565.47;1;5;2000;1;5;5;1
21-Feb-2022;22:39:22;LV_f13_MF;1;0.003259;1622.74;1;5;2000;1;5;5;1
21-Feb-2022;23:11:23;LV_f13_MF;2;0.009214;1921.51;1;5;2000;1;5;5;1
21-Feb-2022;23:38:44;LV_f13_MF;3;0.005902;1640.45;1;5;2000;1;5;5;1
22-Feb-2022;00:05:37;LV_f13_MF;4;0.001795;1613.20;1;5;2000;1;5;5;1
22-Feb-2022;00:37:22;LV_f13_MF;5;0.000661;1904.61;1;5;2000;1;5;5;1
22-Feb-2022;01:28:54;LV_f14_MF;1;0.250015;3091.66;1;5;2000;1;5;5;1
22-Feb-2022;02:22:56;LV_f14_MF;2;0.250019;3241.83;1;5;2000;1;5;5;1
22-Feb-2022;03:17:54;LV_f14_MF;3;0.250005;3297.50;1;5;2000;1;5;5;1
22-Feb-2022;04:16:30;LV_f14_MF;4;0.250002;3516.26;1;5;2000;1;5;5;1
22-Feb-2022;05:13:18;LV_f14_MF;5;0.250012;3407.58;1;5;2000;1;5;5;1
22-Feb-2022;05:41:13;LV_f15_MF;1;5.402849;1675.22;1;5;2000;1;5;5;1
22-Feb-2022;06:21:12;LV_f15_MF;2;68.422425;2399.15;1;5;2000;1;5;5;1
22-Feb-2022;06:49:21;LV_f15_MF;3;12.511571;1689.02;1;5;2000;1;5;5;1
22-Feb-2022;07:29:01;LV_f15_MF;4;7.913444;2379.45;1;5;2000;1;5;5;1
22-Feb-2022;07:56:49;LV_f15_MF;5;15.302504;1667.50;1;5;2000;1;5;5;1
22-Feb-2022;09:30:11;LV_f16_MF;1;93.966419;5602.03;1;5;2000;1;5;5;1
22-Feb-2022;10:59:02;LV_f16_MF;2;58.807509;5330.96;1;5;2000;1;5;5;1
22-Feb-2022;12:27:40;LV_f16_MF;3;25.885241;5317.54;1;5;2000;1;5;5;1
22-Feb-2022;13:54:57;LV_f16_MF;4;16.183897;5236.55;1;5;2000;1;5;5;1
22-Feb-2022;15:22:17;LV_f16_MF;5;88.259895;5239.65;1;5;2000;1;5;5;1
22-Feb-2022;16:43:42;LV_f17_MF;1;-2.315258;4884.88;1;5;2000;1;5;5;1
22-Feb-2022;17:58:41;LV_f17_MF;2;-1.904684;4499.55;1;5;2000;1;5;5;1
22-Feb-2022;19:11:00;LV_f17_MF;3;-2.259330;4338.27;1;5;2000;1;5;5;1
22-Feb-2022;20:32:03;LV_f17_MF;4;-2.342657;4862.82;1;5;2000;1;5;5;1
22-Feb-2022;21:45:16;LV_f17_MF;5;-2.428632;4392.51;1;5;2000;1;5;5;1
22-Feb-2022;22:08:11;Griewank_d3_e2;1;0.007396;1375.34;1;5;2000;1;5;5;1
22-Feb-2022;22:30:35;Griewank_d3_e2;2;0.007396;1343.82;1;5;2000;1;5;5;1
22-Feb-2022;22:53:47;Griewank_d3_e2;3;0.007396;1392.03;1;5;2000;1;5;5;1
22-Feb-2022;23:16:59;Griewank_d3_e2;4;0.007396;1391.79;1;5;2000;1;5;5;1
22-Feb-2022;23:39:53;Griewank_d3_e2;5;0.007396;1373.63;1;5;2000;1;5;5;1
23-Feb-2022;00:33:16;Griewank_d5_e2;1;0.210057;3202.77;1;5;2000;1;5;5;1
23-Feb-2022;01:25:53;Griewank_d5_e2;2;0.007520;3156.91;1;5;2000;1;5;5;1
23-Feb-2022;02:19:20;Griewank_d5_e2;3;0.007497;3207.32;1;5;2000;1;5;5;1
23-Feb-2022;03:14:27;Griewank_d5_e2;4;0.000267;3307.33;1;5;2000;1;5;5;1
23-Feb-2022;04:06:17;Griewank_d5_e2;5;0.000458;3109.61;1;5;2000;1;5;5;1
23-Feb-2022;05:38:45;Griewank_d8_e2;1;0.047373;5547.91;1;5;2000;1;5;5;1
23-Feb-2022;07:28:05;Griewank_d8_e2;2;0.856464;6559.14;1;5;2000;1;5;5;1
23-Feb-2022;09:07:06;Griewank_d8_e2;3;0.014063;5940.36;1;5;2000;1;5;5;1
23-Feb-2022;10:45:16;Griewank_d8_e2;4;0.016109;5889.78;1;5;2000;1;5;5;1
23-Feb-2022;12:20:57;Griewank_d8_e2;5;0.006589;5741.30;1;5;2000;1;5;5;1
