DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
01-Mar-2022;22:11:57;LV_f13_MF;1;100.980135;379.07;0;5;2000;1;5;50;3
01-Mar-2022;22:13:02;LV_f13_MF;2;383.857705;65.13;0;5;2000;1;5;50;3
01-Mar-2022;22:16:49;LV_f13_MF;3;239.320845;226.62;0;5;2000;1;5;50;3
01-Mar-2022;22:18:26;LV_f13_MF;4;458.249610;97.51;0;5;2000;1;5;50;3
01-Mar-2022;22:24:58;LV_f13_MF;5;154.963794;391.25;0;5;2000;1;5;50;3
01-Mar-2022;22:26:56;LV_f15_MF;1;30216.493031;118.35;0;5;2000;1;5;50;3
01-Mar-2022;22:27:56;LV_f15_MF;2;2602.820470;59.69;0;5;2000;1;5;50;3
01-Mar-2022;22:29:12;LV_f15_MF;3;8770.234779;76.31;0;5;2000;1;5;50;3
01-Mar-2022;22:30:46;LV_f15_MF;4;13123.485736;93.68;0;5;2000;1;5;50;3
01-Mar-2022;22:32:17;LV_f15_MF;5;41639.224117;91.16;0;5;2000;1;5;50;3
01-Mar-2022;22:35:33;LV_f17_MF;1;11.294535;195.42;0;5;2000;1;5;50;3
01-Mar-2022;22:36:22;LV_f17_MF;2;872.562224;49.70;0;5;2000;1;5;50;3
01-Mar-2022;22:40:26;LV_f17_MF;3;8.262170;243.94;0;5;2000;1;5;50;3
01-Mar-2022;22:41:15;LV_f17_MF;4;769.858252;48.49;0;5;2000;1;5;50;3
01-Mar-2022;22:42:05;LV_f17_MF;5;722.810009;50.14;0;5;2000;1;5;50;3
01-Mar-2022;22:47:16;Griewank_d3_e2;1;0.000231;311.22;0;5;2000;1;5;50;3
01-Mar-2022;22:50:37;Griewank_d3_e2;2;0.000006;200.64;0;5;2000;1;5;50;3
01-Mar-2022;22:55:28;Griewank_d3_e2;3;0.007401;290.99;0;5;2000;1;5;50;3
01-Mar-2022;22:56:49;Griewank_d3_e2;4;0.019488;81.31;0;5;2000;1;5;50;3
01-Mar-2022;23:01:26;Griewank_d3_e2;5;0.000092;276.85;0;5;2000;1;5;50;3
01-Mar-2022;23:03:36;Griewank_d8_e2;1;0.984053;129.45;0;5;2000;1;5;50;3
01-Mar-2022;23:04:24;Griewank_d8_e2;2;0.991303;48.69;0;5;2000;1;5;50;3
01-Mar-2022;23:07:59;Griewank_d8_e2;3;0.970229;214.80;0;5;2000;1;5;50;3
01-Mar-2022;23:08:47;Griewank_d8_e2;4;0.815128;47.61;0;5;2000;1;5;50;3
01-Mar-2022;23:10:49;Griewank_d8_e2;5;0.888299;121.65;0;5;2000;1;5;50;3
