DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
17-Feb-2022;12:49:54;LV_f11_MF;1;0.000000;1395.02;1;5;2000;1;5;1;1
17-Feb-2022;13:13:16;LV_f11_MF;2;0.000000;1401.39;1;5;2000;1;5;1;1
17-Feb-2022;13:35:49;LV_f11_MF;3;0.000000;1352.78;1;5;2000;1;5;1;1
17-Feb-2022;13:58:28;LV_f11_MF;4;0.000000;1358.96;1;5;2000;1;5;1;1
17-Feb-2022;14:22:31;LV_f11_MF;5;0.000000;1443.07;1;5;2000;1;5;1;1
17-Feb-2022;15:11:02;LV_f13_MF;1;0.007636;2910.49;1;5;2000;1;5;1;1
17-Feb-2022;16:01:08;LV_f13_MF;2;0.002104;3006.65;1;5;2000;1;5;1;1
17-Feb-2022;16:50:53;LV_f13_MF;3;0.000825;2984.90;1;5;2000;1;5;1;1
17-Feb-2022;17:40:29;LV_f13_MF;4;0.004941;2975.11;1;5;2000;1;5;1;1
17-Feb-2022;18:32:04;LV_f13_MF;5;0.000660;3095.29;1;5;2000;1;5;1;1
17-Feb-2022;19:35:34;LV_f14_MF;1;0.250006;3810.08;1;5;2000;1;5;1;1
17-Feb-2022;20:35:44;LV_f14_MF;2;0.250010;3610.02;1;5;2000;1;5;1;1
17-Feb-2022;21:28:04;LV_f14_MF;3;0.250009;3139.99;1;5;2000;1;5;1;1
17-Feb-2022;22:17:02;LV_f14_MF;4;0.250004;2936.78;1;5;2000;1;5;1;1
17-Feb-2022;23:06:23;LV_f14_MF;5;0.250011;2961.24;1;5;2000;1;5;1;1
18-Feb-2022;00:07:47;LV_f15_MF;1;16.822054;3683.97;1;5;2000;1;5;1;1
18-Feb-2022;01:11:32;LV_f15_MF;2;13.272628;3824.22;1;5;2000;1;5;1;1
18-Feb-2022;02:15:12;LV_f15_MF;3;10.085694;3820.16;1;5;2000;1;5;1;1
18-Feb-2022;03:21:41;LV_f15_MF;4;2.227945;3989.39;1;5;2000;1;5;1;1
18-Feb-2022;04:25:34;LV_f15_MF;5;7.183170;3832.19;1;5;2000;1;5;1;1
18-Feb-2022;07:03:07;LV_f16_MF;1;109.949194;9452.73;1;5;2000;1;5;1;1
18-Feb-2022;09:23:53;LV_f16_MF;2;62.504272;8445.80;1;5;2000;1;5;1;1
18-Feb-2022;11:46:58;LV_f16_MF;3;11.989996;8584.78;1;5;2000;1;5;1;1
18-Feb-2022;13:54:24;LV_f16_MF;4;23.806195;7645.89;1;5;2000;1;5;1;1
18-Feb-2022;16:03:45;LV_f16_MF;5;6.633038;7760.92;1;5;2000;1;5;1;1
18-Feb-2022;18:01:51;LV_f17_MF;1;-2.033852;7085.29;1;5;2000;1;5;1;1
18-Feb-2022;19:57:51;LV_f17_MF;2;-2.150846;6959.48;1;5;2000;1;5;1;1
18-Feb-2022;22:00:31;LV_f17_MF;3;-2.505206;7359.52;1;5;2000;1;5;1;1
18-Feb-2022;23:56:34;LV_f17_MF;4;-2.006734;6962.96;1;5;2000;1;5;1;1
19-Feb-2022;02:01:02;LV_f17_MF;5;-2.615369;7467.75;1;5;2000;1;5;1;1
19-Feb-2022;02:30:42;Griewank_d3_e2;1;0.007396;1780.11;1;5;2000;1;5;1;1
19-Feb-2022;03:01:48;Griewank_d3_e2;2;0.000002;1865.47;1;5;2000;1;5;1;1
19-Feb-2022;03:25:01;Griewank_d3_e2;3;0.007396;1392.99;1;5;2000;1;5;1;1
19-Feb-2022;03:48:18;Griewank_d3_e2;4;0.007396;1397.23;1;5;2000;1;5;1;1
