DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
01-Mar-2022;23:17:07;LV_f13_MF;1;100.980135;377.95;0;5;2000;1;5;50;5
01-Mar-2022;23:18:13;LV_f13_MF;2;383.857705;66.24;0;5;2000;1;5;50;5
01-Mar-2022;23:21:55;LV_f13_MF;3;239.320845;222.15;0;5;2000;1;5;50;5
01-Mar-2022;23:23:35;LV_f13_MF;4;458.249610;99.65;0;5;2000;1;5;50;5
01-Mar-2022;23:30:06;LV_f13_MF;5;154.963794;391.20;0;5;2000;1;5;50;5
01-Mar-2022;23:32:04;LV_f15_MF;1;30216.493031;118.19;0;5;2000;1;5;50;5
01-Mar-2022;23:33:03;LV_f15_MF;2;2602.820470;59.23;0;5;2000;1;5;50;5
01-Mar-2022;23:34:20;LV_f15_MF;3;8770.234779;76.27;0;5;2000;1;5;50;5
01-Mar-2022;23:35:53;LV_f15_MF;4;13123.485736;93.59;0;5;2000;1;5;50;5
01-Mar-2022;23:37:26;LV_f15_MF;5;41639.224117;93.03;0;5;2000;1;5;50;5
01-Mar-2022;23:40:42;LV_f17_MF;1;11.294535;195.43;0;5;2000;1;5;50;5
01-Mar-2022;23:41:33;LV_f17_MF;2;872.562224;50.81;0;5;2000;1;5;50;5
01-Mar-2022;23:45:42;LV_f17_MF;3;8.262170;248.87;0;5;2000;1;5;50;5
01-Mar-2022;23:46:31;LV_f17_MF;4;769.858252;49.59;0;5;2000;1;5;50;5
01-Mar-2022;23:47:22;LV_f17_MF;5;722.810009;50.43;0;5;2000;1;5;50;5
01-Mar-2022;23:52:34;Griewank_d3_e2;1;0.000231;311.76;0;5;2000;1;5;50;5
01-Mar-2022;23:55:51;Griewank_d3_e2;2;0.000006;197.67;0;5;2000;1;5;50;5
02-Mar-2022;00:00:44;Griewank_d3_e2;3;0.007401;292.90;0;5;2000;1;5;50;5
02-Mar-2022;00:02:12;Griewank_d3_e2;4;0.019488;88.25;0;5;2000;1;5;50;5
02-Mar-2022;00:07:06;Griewank_d3_e2;5;0.000092;293.35;0;5;2000;1;5;50;5
02-Mar-2022;00:09:21;Griewank_d8_e2;1;0.984053;135.03;0;5;2000;1;5;50;5
02-Mar-2022;00:10:10;Griewank_d8_e2;2;0.991303;49.21;0;5;2000;1;5;50;5
02-Mar-2022;00:13:55;Griewank_d8_e2;3;0.970229;225.33;0;5;2000;1;5;50;5
02-Mar-2022;00:14:46;Griewank_d8_e2;4;0.815128;50.33;0;5;2000;1;5;50;5
02-Mar-2022;00:16:52;Griewank_d8_e2;5;0.888299;126.49;0;5;2000;1;5;50;5
