DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
09-Sep-2021;09:50:41;Griewank_d3_e2;1;0.000000;570.05;1;30;400;1;5
09-Sep-2021;10:00:01;Griewank_d3_e2;2;0.000000;560.26;1;30;400;1;5
09-Sep-2021;10:08:35;Griewank_d3_e2;3;0.000000;513.07;1;30;400;1;5
09-Sep-2021;10:17:20;Griewank_d3_e2;4;0.013030;525.15;1;30;400;1;5
09-Sep-2021;10:27:21;Griewank_d3_e2;5;0.000000;601.71;1;30;400;1;5
09-Sep-2021;10:36:45;Griewank_d3_e2;6;0.015790;563.61;1;30;400;1;5
09-Sep-2021;10:46:23;Griewank_d3_e2;7;0.000000;577.83;1;30;400;1;5
09-Sep-2021;10:56:04;Griewank_d3_e2;8;0.000000;581.51;1;30;400;1;5
09-Sep-2021;11:05:38;Griewank_d3_e2;9;0.000000;573.52;1;30;400;1;5
09-Sep-2021;11:14:29;Griewank_d3_e2;10;0.000000;530.78;1;30;400;1;5
09-Sep-2021;11:23:46;Griewank_d3_e2;11;0.044530;557.31;1;30;400;1;5
09-Sep-2021;11:34:36;Griewank_d3_e2;12;0.000000;649.56;1;30;400;1;5
09-Sep-2021;11:44:05;Griewank_d3_e2;13;0.000000;568.87;1;30;400;1;5
09-Sep-2021;11:53:11;Griewank_d3_e2;14;0.000000;546.49;1;30;400;1;5
09-Sep-2021;12:02:35;Griewank_d3_e2;15;0.000000;563.15;1;30;400;1;5
09-Sep-2021;12:11:44;Griewank_d3_e2;16;0.000000;549.38;1;30;400;1;5
09-Sep-2021;12:20:17;Griewank_d3_e2;17;0.009883;513.44;1;30;400;1;5
09-Sep-2021;12:29:56;Griewank_d3_e2;18;0.000000;578.57;1;30;400;1;5
09-Sep-2021;12:38:58;Griewank_d3_e2;19;0.000000;542.51;1;30;400;1;5
09-Sep-2021;12:48:00;Griewank_d3_e2;20;0.010423;541.05;1;30;400;1;5
09-Sep-2021;12:56:56;Griewank_d3_e2;21;0.000000;536.76;1;30;400;1;5
09-Sep-2021;13:06:55;Griewank_d3_e2;22;0.000000;598.56;1;30;400;1;5
09-Sep-2021;13:15:46;Griewank_d3_e2;23;0.046698;531.23;1;30;400;1;5
09-Sep-2021;13:24:31;Griewank_d3_e2;24;0.000000;524.51;1;30;400;1;5
09-Sep-2021;13:33:26;Griewank_d3_e2;25;0.009554;535.66;1;30;400;1;5
09-Sep-2021;13:42:17;Griewank_d3_e2;26;0.009828;531.23;1;30;400;1;5
09-Sep-2021;13:52:21;Griewank_d3_e2;27;0.000000;603.07;1;30;400;1;5
09-Sep-2021;14:01:16;Griewank_d3_e2;28;0.012144;535.61;1;30;400;1;5
09-Sep-2021;14:09:45;Griewank_d3_e2;29;0.043655;508.92;1;30;400;1;5
09-Sep-2021;14:18:48;Griewank_d3_e2;30;0.000000;542.48;1;30;400;1;5
09-Sep-2021;14:43:01;Griewank_d5_e2;1;0.000000;1453.46;1;30;400;1;5
09-Sep-2021;15:02:32;Griewank_d5_e2;2;0.000000;1170.65;1;30;400;1;5
09-Sep-2021;15:21:42;Griewank_d5_e2;3;0.085273;1150.00;1;30;400;1;5
