DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;NO_TRIALS;MLFE;LF_COST;HF_COST;K;n_0;PROP_HF
29-Sep-2021;19:41:12;Griewank_d3_e2;1;0.034413;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;2;0.105932;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;3;0.160363;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;4;0.095431;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;5;0.095068;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;6;0.019437;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;7;0.136108;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;8;0.106550;0.13;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;9;0.103447;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;10;0.046330;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:12;Griewank_d3_e2;11;0.037420;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;12;0.046649;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;13;0.021662;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;14;0.008267;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;15;0.020369;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;16;0.022095;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;17;0.048168;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;18;0.046811;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;19;0.073728;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;20;0.100518;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;21;0.106649;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;22;0.123980;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:13;Griewank_d3_e2;23;0.075645;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d3_e2;24;0.093367;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d3_e2;25;0.097200;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d3_e2;26;0.056950;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d3_e2;27;0.129194;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d3_e2;28;0.001880;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d3_e2;29;0.144578;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d3_e2;30;0.045473;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d5_e2;1;0.364436;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d5_e2;2;0.543800;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d5_e2;3;0.445257;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d5_e2;4;0.358983;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:14;Griewank_d5_e2;5;0.491520;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;6;0.588860;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;7;0.283196;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;8;0.220610;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;9;0.253032;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;10;0.447995;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;11;0.417042;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;12;0.315170;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;13;0.351570;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;14;0.373798;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;15;0.422990;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;16;0.418489;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:15;Griewank_d5_e2;17;0.330124;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:16;Griewank_d5_e2;18;0.427116;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:16;Griewank_d5_e2;19;0.168522;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:16;Griewank_d5_e2;20;0.584826;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:41:16;Griewank_d5_e2;21;0.504985;0.09;30;2000;1;5;10;3;0.250000
