DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
27-Feb-2022;18:19:46;LV_f11_MF;1;0.000000;1205.46;1;5;2000;1;5;25;5
27-Feb-2022;18:38:13;LV_f11_MF;2;0.000000;1107.17;1;5;2000;1;5;25;5
27-Feb-2022;18:56:21;LV_f11_MF;3;0.000000;1087.80;1;5;2000;1;5;25;5
27-Feb-2022;19:14:34;LV_f11_MF;4;0.000000;1092.66;1;5;2000;1;5;25;5
27-Feb-2022;19:32:18;LV_f11_MF;5;0.000000;1064.62;1;5;2000;1;5;25;5
27-Feb-2022;19:48:42;LV_f13_MF;1;16.033294;983.28;1;5;2000;1;5;25;5
27-Feb-2022;20:07:03;LV_f13_MF;2;18.618008;1101.29;1;5;2000;1;5;25;5
27-Feb-2022;20:26:45;LV_f13_MF;3;2.406052;1181.66;1;5;2000;1;5;25;5
27-Feb-2022;20:45:13;LV_f13_MF;4;0.868696;1107.82;1;5;2000;1;5;25;5
27-Feb-2022;21:01:35;LV_f13_MF;5;15.202996;982.54;1;5;2000;1;5;25;5
27-Feb-2022;21:23:44;LV_f15_MF;1;445.901509;1328.49;1;5;2000;1;5;25;5
27-Feb-2022;21:43:24;LV_f15_MF;2;748.949388;1180.65;1;5;2000;1;5;25;5
27-Feb-2022;22:00:21;LV_f15_MF;3;1191.748356;1016.56;1;5;2000;1;5;25;5
27-Feb-2022;22:18:45;LV_f15_MF;4;158.610066;1103.56;1;5;2000;1;5;25;5
27-Feb-2022;22:39:39;LV_f15_MF;5;379.622235;1254.00;1;5;2000;1;5;25;5
27-Feb-2022;23:41:43;LV_f17_MF;1;-1.535987;3724.34;1;5;2000;1;5;25;5
28-Feb-2022;00:40:00;LV_f17_MF;2;-1.304571;3497.05;1;5;2000;1;5;25;5
28-Feb-2022;01:30:10;LV_f17_MF;3;-1.924972;3009.34;1;5;2000;1;5;25;5
28-Feb-2022;02:27:47;LV_f17_MF;4;-1.100365;3457.10;1;5;2000;1;5;25;5
28-Feb-2022;03:21:58;LV_f17_MF;5;-2.233847;3250.68;1;5;2000;1;5;25;5
28-Feb-2022;03:36:05;Griewank_d3_e2;1;0.000000;847.55;1;5;2000;1;5;25;5
28-Feb-2022;03:50:24;Griewank_d3_e2;2;0.007396;858.44;1;5;2000;1;5;25;5
28-Feb-2022;04:04:30;Griewank_d3_e2;3;0.000006;846.44;1;5;2000;1;5;25;5
28-Feb-2022;04:17:29;Griewank_d3_e2;4;0.000006;778.55;1;5;2000;1;5;25;5
28-Feb-2022;04:31:07;Griewank_d3_e2;5;0.007396;818.28;1;5;2000;1;5;25;5
28-Feb-2022;05:30:48;Griewank_d8_e2;1;0.019437;3580.83;1;5;2000;1;5;25;5
28-Feb-2022;06:20:36;Griewank_d8_e2;2;0.943886;2988.06;1;5;2000;1;5;25;5
28-Feb-2022;07:00:32;Griewank_d8_e2;3;0.030922;2395.77;1;5;2000;1;5;25;5
28-Feb-2022;07:43:28;Griewank_d8_e2;4;0.560965;2575.74;1;5;2000;1;5;25;5
28-Feb-2022;08:19:40;Griewank_d8_e2;5;0.037170;2172.58;1;5;2000;1;5;25;5
