DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
28-Feb-2022;19:32:43;LV_f11_MF;1;0.000000;63.02;0;5;2000;1;5;25;7
28-Feb-2022;19:33:06;LV_f11_MF;2;0.000002;22.71;0;5;2000;1;5;25;7
28-Feb-2022;19:34:14;LV_f11_MF;3;0.000001;67.87;0;5;2000;1;5;25;7
28-Feb-2022;19:35:28;LV_f11_MF;4;0.000000;74.50;0;5;2000;1;5;25;7
28-Feb-2022;19:36:10;LV_f11_MF;5;0.000002;42.07;0;5;2000;1;5;25;7
28-Feb-2022;19:39:01;LV_f13_MF;1;304.085380;170.80;0;5;2000;1;5;25;7
28-Feb-2022;19:41:01;LV_f13_MF;2;640.602952;120.09;0;5;2000;1;5;25;7
28-Feb-2022;19:41:30;LV_f13_MF;3;382.333017;28.45;0;5;2000;1;5;25;7
28-Feb-2022;19:42:02;LV_f13_MF;4;1203.268344;31.96;0;5;2000;1;5;25;7
28-Feb-2022;19:45:45;LV_f13_MF;5;137.879463;223.00;0;5;2000;1;5;25;7
28-Feb-2022;19:48:04;LV_f15_MF;1;19188.262763;138.83;0;5;2000;1;5;25;7
28-Feb-2022;19:48:22;LV_f15_MF;2;5993.411943;18.67;0;5;2000;1;5;25;7
28-Feb-2022;19:49:15;LV_f15_MF;3;6318.897380;52.96;0;5;2000;1;5;25;7
28-Feb-2022;19:50:12;LV_f15_MF;4;27914.243090;56.72;0;5;2000;1;5;25;7
28-Feb-2022;19:50:58;LV_f15_MF;5;9822.520758;45.75;0;5;2000;1;5;25;7
28-Feb-2022;19:55:47;LV_f17_MF;1;18.555900;289.65;0;5;2000;1;5;25;7
28-Feb-2022;19:58:33;LV_f17_MF;2;19.991139;165.27;0;5;2000;1;5;25;7
28-Feb-2022;20:01:31;LV_f17_MF;3;77.164560;177.93;0;5;2000;1;5;25;7
28-Feb-2022;20:05:02;LV_f17_MF;4;5.759805;211.46;0;5;2000;1;5;25;7
28-Feb-2022;20:11:18;LV_f17_MF;5;18.459422;376.13;0;5;2000;1;5;25;7
28-Feb-2022;20:14:35;Griewank_d3_e2;1;0.007396;196.65;0;5;2000;1;5;25;7
28-Feb-2022;20:19:33;Griewank_d3_e2;2;0.000156;298.01;0;5;2000;1;5;25;7
28-Feb-2022;20:25:21;Griewank_d3_e2;3;0.000012;347.39;0;5;2000;1;5;25;7
28-Feb-2022;20:33:06;Griewank_d3_e2;4;0.000058;465.73;0;5;2000;1;5;25;7
28-Feb-2022;20:37:00;Griewank_d3_e2;5;0.000071;233.47;0;5;2000;1;5;25;7
28-Feb-2022;20:37:33;Griewank_d8_e2;1;0.950784;32.56;0;5;2000;1;5;25;7
28-Feb-2022;20:38:52;Griewank_d8_e2;2;0.943886;79.27;0;5;2000;1;5;25;7
28-Feb-2022;20:41:24;Griewank_d8_e2;3;0.815449;152.52;0;5;2000;1;5;25;7
28-Feb-2022;20:44:15;Griewank_d8_e2;4;0.945200;170.79;0;5;2000;1;5;25;7
28-Feb-2022;20:47:04;Griewank_d8_e2;5;0.826692;168.92;0;5;2000;1;5;25;7
