DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
17-Feb-2022;18:23:48;LV_f11_MF;1;0.000000;474.99;2;10;2000;1;5;5;25
17-Feb-2022;18:32:04;LV_f11_MF;2;0.000000;495.52;2;10;2000;1;5;5;25
17-Feb-2022;18:39:53;LV_f11_MF;3;0.000001;469.06;2;10;2000;1;5;5;25
17-Feb-2022;18:47:15;LV_f11_MF;4;0.000000;441.77;2;10;2000;1;5;5;25
17-Feb-2022;18:54:55;LV_f11_MF;5;0.000000;459.83;2;10;2000;1;5;5;25
17-Feb-2022;19:02:53;LV_f11_MF;6;0.000001;478.75;2;10;2000;1;5;5;25
17-Feb-2022;19:11:13;LV_f11_MF;7;0.000000;499.75;2;10;2000;1;5;5;25
17-Feb-2022;19:18:01;LV_f11_MF;8;0.000000;408.07;2;10;2000;1;5;5;25
17-Feb-2022;19:26:33;LV_f11_MF;9;0.000000;511.34;2;10;2000;1;5;5;25
17-Feb-2022;19:33:14;LV_f11_MF;10;0.000000;401.03;2;10;2000;1;5;5;25
17-Feb-2022;19:42:17;LV_f13_MF;1;27.550899;543.18;2;10;2000;1;5;5;25
17-Feb-2022;19:51:16;LV_f13_MF;2;31.474344;539.21;2;10;2000;1;5;5;25
17-Feb-2022;20:01:01;LV_f13_MF;3;22.272230;584.78;2;10;2000;1;5;5;25
17-Feb-2022;20:09:36;LV_f13_MF;4;19.092375;515.06;2;10;2000;1;5;5;25
17-Feb-2022;20:19:00;LV_f13_MF;5;22.232428;564.37;2;10;2000;1;5;5;25
17-Feb-2022;20:27:48;LV_f13_MF;6;29.694035;527.70;2;10;2000;1;5;5;25
17-Feb-2022;20:36:45;LV_f13_MF;7;7.977709;536.82;2;10;2000;1;5;5;25
17-Feb-2022;20:45:11;LV_f13_MF;8;18.854513;505.60;2;10;2000;1;5;5;25
17-Feb-2022;20:54:15;LV_f13_MF;9;37.216843;543.92;2;10;2000;1;5;5;25
17-Feb-2022;21:03:07;LV_f13_MF;10;5.986622;532.89;2;10;2000;1;5;5;25
17-Feb-2022;21:16:41;LV_f14_MF;1;0.250009;813.87;2;10;2000;1;5;5;25
17-Feb-2022;21:30:27;LV_f14_MF;2;0.250007;825.38;2;10;2000;1;5;5;25
17-Feb-2022;21:44:18;LV_f14_MF;3;0.250019;831.46;2;10;2000;1;5;5;25
17-Feb-2022;21:58:38;LV_f14_MF;4;0.250029;859.27;2;10;2000;1;5;5;25
17-Feb-2022;22:13:04;LV_f14_MF;5;0.250015;866.59;2;10;2000;1;5;5;25
17-Feb-2022;22:27:41;LV_f14_MF;6;0.250011;876.47;2;10;2000;1;5;5;25
17-Feb-2022;22:41:27;LV_f14_MF;7;0.250010;826.38;2;10;2000;1;5;5;25
17-Feb-2022;22:55:14;LV_f14_MF;8;0.250016;827.23;2;10;2000;1;5;5;25
17-Feb-2022;23:09:48;LV_f14_MF;9;0.250030;873.46;2;10;2000;1;5;5;25
17-Feb-2022;23:24:06;LV_f14_MF;10;0.250010;858.24;2;10;2000;1;5;5;25
17-Feb-2022;23:37:21;LV_f15_MF;1;5760.776126;795.08;2;10;2000;1;5;5;25
17-Feb-2022;23:51:30;LV_f15_MF;2;2754.918333;849.03;2;10;2000;1;5;5;25
18-Feb-2022;00:06:23;LV_f15_MF;3;3480.291887;892.17;2;10;2000;1;5;5;25
18-Feb-2022;00:20:39;LV_f15_MF;4;4587.164366;856.16;2;10;2000;1;5;5;25
18-Feb-2022;00:34:10;LV_f15_MF;5;815.696321;811.30;2;10;2000;1;5;5;25
18-Feb-2022;00:47:17;LV_f15_MF;6;2757.361465;786.99;2;10;2000;1;5;5;25
18-Feb-2022;00:59:41;LV_f15_MF;7;2602.820470;743.89;2;10;2000;1;5;5;25
18-Feb-2022;01:15:06;LV_f15_MF;8;5118.832862;925.48;2;10;2000;1;5;5;25
18-Feb-2022;01:29:42;LV_f15_MF;9;3719.374620;875.14;2;10;2000;1;5;5;25
18-Feb-2022;01:44:17;LV_f15_MF;10;5400.773356;875.14;2;10;2000;1;5;5;25
18-Feb-2022;02:17:04;LV_f16_MF;1;246.977924;1967.53;2;10;2000;1;5;5;25
18-Feb-2022;02:49:08;LV_f16_MF;2;416.156930;1923.92;2;10;2000;1;5;5;25
18-Feb-2022;03:21:01;LV_f16_MF;3;593.486944;1912.70;2;10;2000;1;5;5;25
18-Feb-2022;03:50:52;LV_f16_MF;4;521.658492;1791.05;2;10;2000;1;5;5;25
18-Feb-2022;04:21:54;LV_f16_MF;5;584.405486;1861.84;2;10;2000;1;5;5;25
18-Feb-2022;04:56:04;LV_f16_MF;6;305.379509;2049.54;2;10;2000;1;5;5;25
18-Feb-2022;05:25:26;LV_f16_MF;7;221.015352;1762.73;2;10;2000;1;5;5;25
18-Feb-2022;05:57:37;LV_f16_MF;8;258.334415;1930.98;2;10;2000;1;5;5;25
18-Feb-2022;06:30:00;LV_f16_MF;9;551.926225;1942.65;2;10;2000;1;5;5;25
18-Feb-2022;07:03:32;LV_f16_MF;10;352.805868;2011.55;2;10;2000;1;5;5;25
18-Feb-2022;07:32:12;LV_f17_MF;1;-1.217868;1720.65;2;10;2000;1;5;5;25
18-Feb-2022;07:59:36;LV_f17_MF;2;-1.534865;1643.15;2;10;2000;1;5;5;25
18-Feb-2022;08:25:31;LV_f17_MF;3;-1.496213;1555.15;2;10;2000;1;5;5;25
18-Feb-2022;08:51:36;LV_f17_MF;4;-2.121370;1564.76;2;10;2000;1;5;5;25
18-Feb-2022;09:17:27;LV_f17_MF;5;-1.486397;1551.33;2;10;2000;1;5;5;25
18-Feb-2022;09:43:46;LV_f17_MF;6;-1.945619;1578.51;2;10;2000;1;5;5;25
18-Feb-2022;10:10:38;LV_f17_MF;7;-1.618508;1612.88;2;10;2000;1;5;5;25
18-Feb-2022;10:36:28;LV_f17_MF;8;-1.811005;1549.42;2;10;2000;1;5;5;25
18-Feb-2022;11:01:59;LV_f17_MF;9;-0.956854;1530.70;2;10;2000;1;5;5;25
18-Feb-2022;11:30:53;LV_f17_MF;10;-2.030263;1733.84;2;10;2000;1;5;5;25
18-Feb-2022;11:36:50;Griewank_d3_e2;1;0.007396;357.52;2;10;2000;1;5;5;25
18-Feb-2022;11:43:39;Griewank_d3_e2;2;0.000006;408.47;2;10;2000;1;5;5;25
18-Feb-2022;11:50:18;Griewank_d3_e2;3;0.000021;399.31;2;10;2000;1;5;5;25
18-Feb-2022;11:56:52;Griewank_d3_e2;4;0.007396;394.37;2;10;2000;1;5;5;25
18-Feb-2022;12:03:33;Griewank_d3_e2;5;0.000136;401.01;2;10;2000;1;5;5;25
18-Feb-2022;12:10:35;Griewank_d3_e2;6;0.005997;421.82;2;10;2000;1;5;5;25
18-Feb-2022;12:17:10;Griewank_d3_e2;7;0.000002;395.18;2;10;2000;1;5;5;25
18-Feb-2022;12:23:34;Griewank_d3_e2;8;0.000022;383.69;2;10;2000;1;5;5;25
18-Feb-2022;12:30:08;Griewank_d3_e2;9;0.043476;394.01;2;10;2000;1;5;5;25
18-Feb-2022;12:36:21;Griewank_d3_e2;10;0.000015;372.81;2;10;2000;1;5;5;25
18-Feb-2022;12:48:14;Griewank_d5_e2;1;0.210043;712.73;2;10;2000;1;5;5;25
18-Feb-2022;12:59:38;Griewank_d5_e2;2;0.007444;683.95;2;10;2000;1;5;5;25
18-Feb-2022;13:11:24;Griewank_d5_e2;3;0.041079;706.39;2;10;2000;1;5;5;25
18-Feb-2022;13:23:06;Griewank_d5_e2;4;0.041173;702.21;2;10;2000;1;5;5;25
18-Feb-2022;13:34:32;Griewank_d5_e2;5;0.001346;685.82;2;10;2000;1;5;5;25
18-Feb-2022;13:46:04;Griewank_d5_e2;6;0.007741;691.56;2;10;2000;1;5;5;25
18-Feb-2022;13:57:24;Griewank_d5_e2;7;0.007589;679.81;2;10;2000;1;5;5;25
18-Feb-2022;14:09:48;Griewank_d5_e2;8;0.415164;744.47;2;10;2000;1;5;5;25
18-Feb-2022;14:21:13;Griewank_d5_e2;9;0.244625;684.38;2;10;2000;1;5;5;25
18-Feb-2022;14:33:02;Griewank_d5_e2;10;0.007716;709.59;2;10;2000;1;5;5;25
18-Feb-2022;15:11:30;Griewank_d8_e2;1;0.950784;2307.49;2;10;2000;1;5;5;25
18-Feb-2022;15:44:17;Griewank_d8_e2;2;0.943886;1967.04;2;10;2000;1;5;5;25
18-Feb-2022;16:24:46;Griewank_d8_e2;3;0.815449;2429.46;2;10;2000;1;5;5;25
18-Feb-2022;16:55:18;Griewank_d8_e2;4;0.945200;1831.50;2;10;2000;1;5;5;25
18-Feb-2022;17:34:44;Griewank_d8_e2;5;0.826692;2365.55;2;10;2000;1;5;5;25
18-Feb-2022;18:11:42;Griewank_d8_e2;6;0.984053;2218.09;2;10;2000;1;5;5;25
18-Feb-2022;18:47:07;Griewank_d8_e2;7;0.092616;2125.28;2;10;2000;1;5;5;25
18-Feb-2022;19:20:23;Griewank_d8_e2;8;0.484995;1996.17;2;10;2000;1;5;5;25
18-Feb-2022;19:52:45;Griewank_d8_e2;9;0.425397;1941.73;2;10;2000;1;5;5;25
18-Feb-2022;20:24:42;Griewank_d8_e2;10;0.531193;1917.12;2;10;2000;1;5;5;25
18-Feb-2022;20:30:40;Griewank_d3_e6;1;0.007396;357.27;2;10;2000;1;5;5;25
