DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;NO_TRIALS;MLFE;LF_COST;HF_COST;K;n_0;PROP_HF
29-Sep-2021;19:40:29;LV_f11_MF;29;0.303991;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:29;LV_f11_MF;30;0.655390;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:29;LV_f12_MF;1;-1.614664;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:29;LV_f12_MF;2;-1.229603;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;3;-2.523887;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;4;-1.549881;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;5;-1.882971;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;6;-1.199050;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;7;-1.839309;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;8;-1.106279;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;9;-2.418399;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;10;-1.498610;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;11;-1.619567;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;12;-1.437691;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;13;-2.694364;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;14;-1.324969;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:30;LV_f12_MF;15;-1.284640;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;16;-0.575555;0.12;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;17;-1.653746;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;18;-1.503070;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;19;-1.634889;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;20;-1.400548;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;21;-2.921403;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;22;-1.977817;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;23;-3.837021;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;24;-0.552218;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;25;-1.251120;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:31;LV_f12_MF;26;-1.196249;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f12_MF;27;-2.114512;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f12_MF;28;-2.124144;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f12_MF;29;-3.222948;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f12_MF;30;-1.833011;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;1;319.086331;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;2;125.243147;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;3;65.907826;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;4;261.548848;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;5;58.678136;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;6;219.114948;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;7;69.275157;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;8;81.539508;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:32;LV_f13_MF;9;14.088746;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;10;39.240322;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;11;82.105275;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;12;773.327947;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;13;28.539141;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;14;98.657008;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;15;119.006538;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;16;523.445482;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;17;156.956482;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;18;107.906235;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;19;30.631372;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;20;62.367072;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:33;LV_f13_MF;21;35.760982;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;22;534.567162;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;23;26.479690;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;24;149.280668;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;25;288.510536;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;26;315.978395;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;27;27.917820;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;28;67.644112;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;29;21.228819;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f13_MF;30;74.208268;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f14_MF;1;0.316557;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f14_MF;2;0.482813;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:34;LV_f14_MF;3;0.443667;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;4;0.405542;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;5;0.376488;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;6;0.415615;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;7;0.386283;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;8;0.339003;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;9;0.492350;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;10;0.392554;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;11;0.452762;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;12;0.366994;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;13;0.506905;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;14;0.444546;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:35;LV_f14_MF;15;0.462617;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;16;0.375997;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;17;0.330276;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;18;0.419715;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;19;0.467938;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;20;0.423954;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;21;0.481913;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;22;0.380988;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;23;0.328504;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;24;0.343453;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;25;0.426453;0.13;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:36;LV_f14_MF;26;0.281742;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f14_MF;27;0.422343;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f14_MF;28;0.410541;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f14_MF;29;0.415273;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f14_MF;30;0.281527;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f15_MF;1;14160.665032;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f15_MF;2;2976.477261;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f15_MF;3;3811.594613;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f15_MF;4;1760.090666;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f15_MF;5;931.250890;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f15_MF;6;3334.679323;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f15_MF;7;14051.655571;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:37;LV_f15_MF;8;3430.021805;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;9;2890.444892;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;10;13953.314664;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;11;1031.284997;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;12;15005.062682;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;13;4497.637111;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;14;18775.838258;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;15;4119.741043;0.11;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;16;6271.963237;0.10;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;17;4215.803517;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:38;LV_f15_MF;18;4531.107183;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;19;4278.126446;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;20;9332.307378;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;21;7351.187511;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;22;5654.356134;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;23;8380.710332;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;24;6131.129531;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;25;5370.537648;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;26;1868.092924;0.09;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;27;894.606147;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;28;1997.059871;0.08;30;2000;1;5;10;3;0.250000
29-Sep-2021;19:40:39;LV_f15_MF;29;5108.912231;0.08;30;2000;1;5;10;3;0.250000
