DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
28-Feb-2022;08:30:14;LV_f11_MF;1;0.000000;633.53;1;5;2000;1;5;25;25
28-Feb-2022;08:36:58;LV_f11_MF;2;0.000000;404.16;1;5;2000;1;5;25;25
28-Feb-2022;08:44:01;LV_f11_MF;3;0.000000;423.28;1;5;2000;1;5;25;25
28-Feb-2022;08:50:53;LV_f11_MF;4;0.000000;411.81;1;5;2000;1;5;25;25
28-Feb-2022;08:58:58;LV_f11_MF;5;0.000000;484.53;1;5;2000;1;5;25;25
28-Feb-2022;09:06:21;LV_f13_MF;1;25.654129;442.87;1;5;2000;1;5;25;25
28-Feb-2022;09:13:43;LV_f13_MF;2;28.552384;441.91;1;5;2000;1;5;25;25
28-Feb-2022;09:21:27;LV_f13_MF;3;1.343602;464.60;1;5;2000;1;5;25;25
28-Feb-2022;09:28:48;LV_f13_MF;4;1.460131;440.55;1;5;2000;1;5;25;25
28-Feb-2022;09:36:15;LV_f13_MF;5;2.640876;446.81;1;5;2000;1;5;25;25
28-Feb-2022;09:44:26;LV_f15_MF;1;2037.706860;490.92;1;5;2000;1;5;25;25
28-Feb-2022;09:52:03;LV_f15_MF;2;963.816773;457.31;1;5;2000;1;5;25;25
28-Feb-2022;10:01:35;LV_f15_MF;3;1157.219172;572.14;1;5;2000;1;5;25;25
28-Feb-2022;10:11:14;LV_f15_MF;4;2478.574381;578.44;1;5;2000;1;5;25;25
28-Feb-2022;10:18:39;LV_f15_MF;5;2413.042695;445.26;1;5;2000;1;5;25;25
28-Feb-2022;10:41:51;LV_f17_MF;1;-1.944198;1392.07;1;5;2000;1;5;25;25
28-Feb-2022;11:05:09;LV_f17_MF;2;-2.002944;1397.69;1;5;2000;1;5;25;25
28-Feb-2022;11:28:19;LV_f17_MF;3;-1.171992;1390.68;1;5;2000;1;5;25;25
28-Feb-2022;11:51:13;LV_f17_MF;4;-1.135120;1373.28;1;5;2000;1;5;25;25
28-Feb-2022;12:14:02;LV_f17_MF;5;-1.359400;1369.12;1;5;2000;1;5;25;25
28-Feb-2022;12:19:53;Griewank_d3_e2;1;0.000002;351.12;1;5;2000;1;5;25;25
28-Feb-2022;12:25:40;Griewank_d3_e2;2;0.000006;346.96;1;5;2000;1;5;25;25
28-Feb-2022;12:31:33;Griewank_d3_e2;3;0.007396;352.93;1;5;2000;1;5;25;25
28-Feb-2022;12:37:45;Griewank_d3_e2;4;0.000002;371.56;1;5;2000;1;5;25;25
28-Feb-2022;12:43:07;Griewank_d3_e2;5;0.007396;322.53;1;5;2000;1;5;25;25
28-Feb-2022;13:10:20;Griewank_d8_e2;1;0.021579;1632.73;1;5;2000;1;5;25;25
28-Feb-2022;13:36:44;Griewank_d8_e2;2;0.006136;1583.98;1;5;2000;1;5;25;25
28-Feb-2022;14:02:06;Griewank_d8_e2;3;0.028590;1522.20;1;5;2000;1;5;25;25
