DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
28-Feb-2022;02:38:04;LV_f11_MF;1;0.000000;808.56;0;2;2000;1;5;20;3
28-Feb-2022;02:51:01;LV_f11_MF;2;0.000001;776.84;0;2;2000;1;5;20;3
28-Feb-2022;03:07:24;LV_f13_MF;1;6.193942;982.29;0;2;2000;1;5;20;3
28-Feb-2022;03:24:41;LV_f13_MF;2;1.898936;1037.68;0;2;2000;1;5;20;3
28-Feb-2022;03:33:20;LV_f15_MF;1;1190.520730;519.02;0;2;2000;1;5;20;3
28-Feb-2022;03:41:34;LV_f15_MF;2;1648.322886;493.38;0;2;2000;1;5;20;3
28-Feb-2022;03:54:00;LV_f17_MF;1;1.538242;745.58;0;2;2000;1;5;20;3
28-Feb-2022;04:06:38;LV_f17_MF;2;1.804527;758.06;0;2;2000;1;5;20;3
28-Feb-2022;04:19:44;Griewank_d3_e2;1;0.000005;785.68;0;2;2000;1;5;20;3
28-Feb-2022;04:32:13;Griewank_d3_e2;2;0.000077;749.27;0;2;2000;1;5;20;3
28-Feb-2022;04:40:14;Griewank_d8_e2;1;0.950784;480.95;0;2;2000;1;5;20;3
28-Feb-2022;04:52:38;Griewank_d8_e2;2;0.943886;743.71;0;2;2000;1;5;20;3
