DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST
07-Feb-2022;17:45:17;Airfoil_MF;1;-482.072648;1840.95;1;30;2000;1;10
07-Feb-2022;18:18:16;Airfoil_MF;2;-518.171776;1978.88;1;30;2000;1;10
07-Feb-2022;18:50:58;Airfoil_MF;3;-433.568760;1961.47;1;30;2000;1;10
07-Feb-2022;19:20:05;Airfoil_MF;4;-487.618212;1746.87;1;30;2000;1;10
07-Feb-2022;19:48:20;Airfoil_MF;5;-451.482751;1695.25;1;30;2000;1;10
07-Feb-2022;20:31:45;Airfoil_MF;6;-498.973841;2605.01;1;30;2000;1;10
07-Feb-2022;21:03:24;Airfoil_MF;7;-485.564644;1899.12;1;30;2000;1;10
07-Feb-2022;21:34:57;Airfoil_MF;8;-481.941260;1892.70;1;30;2000;1;10
07-Feb-2022;22:04:25;Airfoil_MF;9;-560.032489;1767.91;1;30;2000;1;10
07-Feb-2022;22:39:50;Airfoil_MF;10;-467.992847;2125.14;1;30;2000;1;10
07-Feb-2022;23:15:47;Airfoil_MF;11;-499.139700;2157.33;1;30;2000;1;10
07-Feb-2022;23:57:46;Airfoil_MF;12;-555.824198;2519.08;1;30;2000;1;10
08-Feb-2022;00:32:11;Airfoil_MF;13;-326.270516;2064.79;1;30;2000;1;10
08-Feb-2022;01:13:20;Airfoil_MF;14;-460.035254;2469.19;1;30;2000;1;10
08-Feb-2022;01:47:09;Airfoil_MF;15;-436.010751;2029.26;1;30;2000;1;10
08-Feb-2022;02:29:46;Airfoil_MF;16;-336.862389;2556.97;1;30;2000;1;10
08-Feb-2022;03:02:40;Airfoil_MF;17;-497.267187;1974.06;1;30;2000;1;10
08-Feb-2022;03:29:54;Airfoil_MF;18;-475.824156;1633.30;1;30;2000;1;10
08-Feb-2022;03:58:40;Airfoil_MF;19;-471.688850;1725.99;1;30;2000;1;10
08-Feb-2022;04:30:54;Airfoil_MF;20;-503.900862;1934.19;1;30;2000;1;10
08-Feb-2022;05:08:57;Airfoil_MF;21;-462.778223;2283.41;1;30;2000;1;10
08-Feb-2022;05:35:39;Airfoil_MF;22;-507.412659;1601.21;1;30;2000;1;10
08-Feb-2022;06:06:20;Airfoil_MF;23;-358.061964;1841.79;1;30;2000;1;10
08-Feb-2022;06:39:04;Airfoil_MF;24;-490.882934;1963.90;1;30;2000;1;10
08-Feb-2022;07:14:39;Airfoil_MF;25;-487.525515;2134.60;1;30;2000;1;10
08-Feb-2022;07:46:08;Airfoil_MF;26;-425.139677;1889.55;1;30;2000;1;10
08-Feb-2022;08:18:29;Airfoil_MF;27;-463.821655;1940.87;1;30;2000;1;10
08-Feb-2022;08:55:22;Airfoil_MF;28;-492.748568;2212.51;1;30;2000;1;10
08-Feb-2022;09:26:32;Airfoil_MF;29;-427.799079;1870.41;1;30;2000;1;10
08-Feb-2022;09:54:55;Airfoil_MF;30;-389.892286;1703.20;1;30;2000;1;10
