DATE;TIME;PROB_NAME;TRIAL_NO;BEST;ELAPSED;LF_STRATEGY;NO_TRIALS;MHFE;LF_COST;HF_COST;DELTA_1;DELTA_2
28-Feb-2022;16:11:13;LV_f11_MF;1;0.000003;31.53;0;5;2000;1;5;20;7
28-Feb-2022;16:11:29;LV_f11_MF;2;0.000003;15.87;0;5;2000;1;5;20;7
28-Feb-2022;16:12:23;LV_f11_MF;3;0.000002;54.14;0;5;2000;1;5;20;7
28-Feb-2022;16:13:17;LV_f11_MF;4;0.000001;54.13;0;5;2000;1;5;20;7
28-Feb-2022;16:13:43;LV_f11_MF;5;0.000003;25.62;0;5;2000;1;5;20;7
28-Feb-2022;16:19:23;LV_f13_MF;1;22.949647;339.94;0;5;2000;1;5;20;7
28-Feb-2022;16:24:21;LV_f13_MF;2;39.114554;298.27;0;5;2000;1;5;20;7
28-Feb-2022;16:24:43;LV_f13_MF;3;382.333017;21.90;0;5;2000;1;5;20;7
28-Feb-2022;16:29:42;LV_f13_MF;4;169.753466;298.71;0;5;2000;1;5;20;7
28-Feb-2022;16:36:50;LV_f13_MF;5;100.923029;427.76;0;5;2000;1;5;20;7
28-Feb-2022;16:38:36;LV_f15_MF;1;24580.780869;106.12;0;5;2000;1;5;20;7
28-Feb-2022;16:38:51;LV_f15_MF;2;5993.411943;15.39;0;5;2000;1;5;20;7
28-Feb-2022;16:39:10;LV_f15_MF;3;6318.897380;18.53;0;5;2000;1;5;20;7
28-Feb-2022;16:39:58;LV_f15_MF;4;27914.243090;47.71;0;5;2000;1;5;20;7
28-Feb-2022;16:40:39;LV_f15_MF;5;9822.520758;41.15;0;5;2000;1;5;20;7
28-Feb-2022;16:41:08;LV_f17_MF;1;824.183963;29.16;0;5;2000;1;5;20;7
28-Feb-2022;16:41:41;LV_f17_MF;2;666.134103;32.70;0;5;2000;1;5;20;7
28-Feb-2022;16:42:15;LV_f17_MF;3;187.858824;33.87;0;5;2000;1;5;20;7
28-Feb-2022;16:42:42;LV_f17_MF;4;683.728281;27.06;0;5;2000;1;5;20;7
28-Feb-2022;16:45:23;LV_f17_MF;5;24.333266;161.20;0;5;2000;1;5;20;7
28-Feb-2022;16:47:24;Griewank_d3_e2;1;0.000007;121.56;0;5;2000;1;5;20;7
28-Feb-2022;16:48:55;Griewank_d3_e2;2;0.000190;90.07;0;5;2000;1;5;20;7
28-Feb-2022;16:51:00;Griewank_d3_e2;3;0.007396;125.34;0;5;2000;1;5;20;7
28-Feb-2022;16:54:44;Griewank_d3_e2;4;0.000388;224.00;0;5;2000;1;5;20;7
28-Feb-2022;16:56:12;Griewank_d3_e2;5;0.007396;88.35;0;5;2000;1;5;20;7
28-Feb-2022;16:56:42;Griewank_d8_e2;1;0.950784;29.65;0;5;2000;1;5;20;7
28-Feb-2022;16:57:25;Griewank_d8_e2;2;0.943886;42.75;0;5;2000;1;5;20;7
28-Feb-2022;16:57:52;Griewank_d8_e2;3;0.815449;27.10;0;5;2000;1;5;20;7
28-Feb-2022;16:58:19;Griewank_d8_e2;4;0.945200;26.93;0;5;2000;1;5;20;7
28-Feb-2022;17:00:21;Griewank_d8_e2;5;0.826692;121.78;0;5;2000;1;5;20;7
